,bl,tab,nl,l,L,‘_’,d,‘.’,‘E’,‘e’,‘+’,‘-’,‘/’,‘(‘,‘)’,"‘,’",‘;’,‘!’,‘=’,‘>’,‘<’,‘{’,‘}’,‘*’,‘#’,‘u’,‘s’,‘l’,otro
0,0,0,0,1,17,1,2,3,17,1,16,F,F,F,F,F,F,9,8,8,8,F,F,10,13,1,1,1,E
1,F,F,F,1,F,1,1,F,F,1,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,1,F
2,F,F,F,F,F,14,2,4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3,F,F,F,F,F,F,4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E
4,F,F,F,F,F,F,4,F,5,5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
5,E,E,E,E,E,E,6,E,E,E,7,7,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
6,F,F,F,F,F,F,6,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7,E,E,E,E,E,E,6,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
8,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
9,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,E,E,E,E,E,E,E,E,E,E,E
10,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,11,F,F,F,F,F,F,F
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11,11,11,11,11,11
12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11,11
13,13,13,F,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,F,13,13,13,13
14,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,15,E,F,E
15,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,E,E
16,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E
17,F,F,F,F,17,17,F,F,17,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,E
